year,region,age_4,age_5,age_6,age_7,reg_code,gooddata
1990,White-Donjek,0.134983217,0.257665587,0.49634229,0.111008906,8,0
1991,Carmacks,0.019041,0.369246908,0.499607184,0.112104908,1,1
1991,Lower Mainstem,0.019041,0.369246908,0.499607184,0.112104908,2,1
1991,Middle Mainstem,0.019041,0.369246908,0.499607184,0.112104908,3,1
1991,Pelly,0.019041,0.369246908,0.499607184,0.112104908,4,1
1991,Stewart,0.019041,0.369246908,0.499607184,0.112104908,5,1
1991,Teslin River,0.019041,0.369246908,0.499607184,0.112104908,6,1
1991,Upper Lakes and Mainstem,0.019041,0.369246908,0.499607184,0.112104908,7,1
1991,White-Donjek,0.019041,0.369246908,0.499607184,0.112104908,8,1
1992,Carmacks,0.043544236,0.217496417,0.707222397,0.03173695,1,1
1992,Lower Mainstem,0.043544236,0.217496417,0.707222397,0.03173695,2,1
1992,Middle Mainstem,0.043544236,0.217496417,0.707222397,0.03173695,3,1
1992,Pelly,0.043544236,0.217496417,0.707222397,0.03173695,4,1
1992,Stewart,0.043544236,0.217496417,0.707222397,0.03173695,5,1
1992,Teslin River,0.043544236,0.217496417,0.707222397,0.03173695,6,1
1992,Upper Lakes and Mainstem,0.043544236,0.217496417,0.707222397,0.03173695,7,1
1992,White-Donjek,0.043544236,0.217496417,0.707222397,0.03173695,8,1
1993,Carmacks,0.103196482,0.260960456,0.514695617,0.121147445,1,1
1993,Lower Mainstem,0.103196482,0.260960456,0.514695617,0.121147445,2,1
1993,Middle Mainstem,0.103196482,0.260960456,0.514695617,0.121147445,3,1
1993,Pelly,0.103196482,0.260960456,0.514695617,0.121147445,4,1
1993,Stewart,0.103196482,0.260960456,0.514695617,0.121147445,5,1
1993,Teslin River,0.103196482,0.260960456,0.514695617,0.121147445,6,1
1993,Upper Lakes and Mainstem,0.103196482,0.260960456,0.514695617,0.121147445,7,1
1993,White-Donjek,0.103196482,0.260960456,0.514695617,0.121147445,8,1
1994,Carmacks,0.039572633,0.455880314,0.436077549,0.068469504,1,1
1994,Lower Mainstem,0.039572633,0.455880314,0.436077549,0.068469504,2,1
1994,Middle Mainstem,0.039572633,0.455880314,0.436077549,0.068469504,3,1
1994,Pelly,0.039572633,0.455880314,0.436077549,0.068469504,4,1
1994,Stewart,0.039572633,0.455880314,0.436077549,0.068469504,5,1
1994,Teslin River,0.039572633,0.455880314,0.436077549,0.068469504,6,1
1994,Upper Lakes and Mainstem,0.039572633,0.455880314,0.436077549,0.068469504,7,1
1994,White-Donjek,0.039572633,0.455880314,0.436077549,0.068469504,8,1
1995,Carmacks,0.041893268,0.146487056,0.758876879,0.052742759,1,1
1995,Lower Mainstem,0.041893268,0.146487056,0.758876879,0.052742759,2,1
1995,Middle Mainstem,0.041893268,0.146487056,0.758876879,0.052742759,3,1
1995,Pelly,0.041893268,0.146487056,0.758876879,0.052742759,4,1
1995,Stewart,0.041893268,0.146487056,0.758876879,0.052742759,5,1
1995,Teslin River,0.041893268,0.146487056,0.758876879,0.052742759,6,1
1995,Upper Lakes and Mainstem,0.041893268,0.146487056,0.758876879,0.052742759,7,1
1995,White-Donjek,0.041893268,0.146487056,0.758876879,0.052742759,8,1
1996,Carmacks,0.01436941,0.45112555,0.392543396,0.141961648,1,1
1996,Lower Mainstem,0.01436941,0.45112555,0.392543396,0.141961648,2,1
1996,Middle Mainstem,0.01436941,0.45112555,0.392543396,0.141961648,3,1
1996,Pelly,0.01436941,0.45112555,0.392543396,0.141961648,4,1
1996,Stewart,0.01436941,0.45112555,0.392543396,0.141961648,5,1
1996,Teslin River,0.01436941,0.45112555,0.392543396,0.141961648,6,1
1996,Upper Lakes and Mainstem,0.01436941,0.45112555,0.392543396,0.141961648,7,1
1996,White-Donjek,0.01436941,0.45112555,0.392543396,0.141961648,8,1
1997,Carmacks,0.032859034,0.148304032,0.751946503,0.066890431,1,1
1997,Lower Mainstem,0.032859034,0.148304032,0.751946503,0.066890431,2,1
1997,Middle Mainstem,0.032859034,0.148304032,0.751946503,0.066890431,3,1
1997,Pelly,0.032859034,0.148304032,0.751946503,0.066890431,4,1
1997,Stewart,0.032859034,0.148304032,0.751946503,0.066890431,5,1
1997,Teslin River,0.032859034,0.148304032,0.751946503,0.066890431,6,1
1997,Upper Lakes and Mainstem,0.032859034,0.148304032,0.751946503,0.066890431,7,1
1997,White-Donjek,0.032859034,0.148304032,0.751946503,0.066890431,8,1
1998,Carmacks,0.008654592,0.407766686,0.469024127,0.114554594,1,0
1998,Lower Mainstem,0.008654592,0.407766686,0.469024127,0.114554594,2,0
1998,Middle Mainstem,0.008654592,0.407766686,0.469024127,0.114554594,3,0
1998,Pelly,0.008654592,0.407766686,0.469024127,0.114554594,4,0
1998,Stewart,0.008654592,0.407766686,0.469024127,0.114554594,5,0
1998,Teslin River,0.008654592,0.407766686,0.469024127,0.114554594,6,0
1998,Upper Lakes and Mainstem,0.008654592,0.407766686,0.469024127,0.114554594,7,0
1998,White-Donjek,0.008654592,0.407766686,0.469024127,0.114554594,8,0
1999,Carmacks,0.016331026,0.180463922,0.786622828,0.016582224,1,1
1999,Lower Mainstem,0.016331026,0.180463922,0.786622828,0.016582224,2,1
1999,Middle Mainstem,0.016331026,0.180463922,0.786622828,0.016582224,3,1
1999,Pelly,0.016331026,0.180463922,0.786622828,0.016582224,4,1
1999,Stewart,0.016331026,0.180463922,0.786622828,0.016582224,5,1
1999,Teslin River,0.016331026,0.180463922,0.786622828,0.016582224,6,1
1999,Upper Lakes and Mainstem,0.016331026,0.180463922,0.786622828,0.016582224,7,1
1999,White-Donjek,0.016331026,0.180463922,0.786622828,0.016582224,8,1
2000,Carmacks,0.005498957,0.302575733,0.580659141,0.111266169,1,1
2000,Lower Mainstem,0.005498957,0.302575733,0.580659141,0.111266169,2,1
2000,Middle Mainstem,0.005498957,0.302575733,0.580659141,0.111266169,3,1
2000,Pelly,0.005498957,0.302575733,0.580659141,0.111266169,4,1
2000,Stewart,0.005498957,0.302575733,0.580659141,0.111266169,5,1
2000,Teslin River,0.005498957,0.302575733,0.580659141,0.111266169,6,1
2000,Upper Lakes and Mainstem,0.005498957,0.302575733,0.580659141,0.111266169,7,1
2000,White-Donjek,0.005498957,0.302575733,0.580659141,0.111266169,8,1
2001,Carmacks,0.041641842,0.270838407,0.615432979,0.072086773,1,1
2001,Lower Mainstem,0.041641842,0.270838407,0.615432979,0.072086773,2,1
2001,Middle Mainstem,0.041641842,0.270838407,0.615432979,0.072086773,3,1
2001,Pelly,0.041641842,0.270838407,0.615432979,0.072086773,4,1
2001,Stewart,0.041641842,0.270838407,0.615432979,0.072086773,5,1
2001,Teslin River,0.041641842,0.270838407,0.615432979,0.072086773,6,1
2001,Upper Lakes and Mainstem,0.041641842,0.270838407,0.615432979,0.072086773,7,1
2001,White-Donjek,0.041641842,0.270838407,0.615432979,0.072086773,8,1
2002,Carmacks,0.044326897,0.323811326,0.545641154,0.086220623,1,1
2002,Lower Mainstem,0.044326897,0.323811326,0.545641154,0.086220623,2,1
2002,Middle Mainstem,0.044326897,0.323811326,0.545641154,0.086220623,3,1
2002,Pelly,0.044326897,0.323811326,0.545641154,0.086220623,4,1
2002,Stewart,0.044326897,0.323811326,0.545641154,0.086220623,5,1
2002,Teslin River,0.044326897,0.323811326,0.545641154,0.086220623,6,1
2002,Upper Lakes and Mainstem,0.044326897,0.323811326,0.545641154,0.086220623,7,1
2002,White-Donjek,0.044326897,0.323811326,0.545641154,0.086220623,8,1
2003,Carmacks,0.0112847,0.261771684,0.629461682,0.097481958,1,1
2003,Lower Mainstem,0.0112847,0.261771684,0.629461682,0.097481958,2,1
2003,Middle Mainstem,0.0112847,0.261771684,0.629461682,0.097481958,3,1
2003,Pelly,0.0112847,0.261771684,0.629461682,0.097481958,4,1
2003,Stewart,0.0112847,0.261771684,0.629461682,0.097481958,5,1
2003,Teslin River,0.0112847,0.261771684,0.629461682,0.097481958,6,1
2003,Upper Lakes and Mainstem,0.0112847,0.261771684,0.629461682,0.097481958,7,1
2003,White-Donjek,0.0112847,0.261771684,0.629461682,0.097481958,8,1
2004,Carmacks,0.023927313,0.25680652,0.652488432,0.066777771,1,1
2004,Lower Mainstem,0.023927313,0.25680652,0.652488432,0.066777771,2,1
2004,Middle Mainstem,0.023927313,0.25680652,0.652488432,0.066777771,3,1
2004,Pelly,0.023927313,0.25680652,0.652488432,0.066777771,4,1
2004,Stewart,0.023927313,0.25680652,0.652488432,0.066777771,5,1
2004,Teslin River,0.023927313,0.25680652,0.652488432,0.066777771,6,1
2004,Upper Lakes and Mainstem,0.023927313,0.25680652,0.652488432,0.066777771,7,1
2004,White-Donjek,0.023927313,0.25680652,0.652488432,0.066777771,8,1
2005,Carmacks,0.01527656,0.329284575,0.620078562,0.035360304,1,1
2005,Lower Mainstem,0.01527656,0.329284575,0.620078562,0.035360304,2,1
2005,Middle Mainstem,0.01527656,0.329284575,0.620078562,0.035360304,3,1
2005,Pelly,0.01527656,0.329284575,0.620078562,0.035360304,4,1
2005,Stewart,0.01527656,0.329284575,0.620078562,0.035360304,5,1
2005,Teslin River,0.01527656,0.329284575,0.620078562,0.035360304,6,1
2005,Upper Lakes and Mainstem,0.01527656,0.329284575,0.620078562,0.035360304,7,1
2005,White-Donjek,0.01527656,0.329284575,0.620078562,0.035360304,8,1
2006,Carmacks,0.019454649,0.425802054,0.530724959,0.024018339,1,0
2006,Lower Mainstem,0.019454649,0.425802054,0.530724959,0.024018339,2,0
2006,Middle Mainstem,0.019454649,0.425802054,0.530724959,0.024018339,3,0
2006,Pelly,0.019454649,0.425802054,0.530724959,0.024018339,4,0
2006,Stewart,0.019454649,0.425802054,0.530724959,0.024018339,5,0
2006,Teslin River,0.019454649,0.425802054,0.530724959,0.024018339,6,0
2006,Upper Lakes and Mainstem,0.019454649,0.425802054,0.530724959,0.024018339,7,0
2006,White-Donjek,0.019454649,0.425802054,0.530724959,0.024018339,8,0
2007,Carmacks,0.067130605,0.326559295,0.589141963,0.017168102,1,0
2007,Lower Mainstem,0.067130605,0.326559295,0.589141963,0.017168102,2,0
2007,Middle Mainstem,0.067130605,0.326559295,0.589141963,0.017168102,3,0
2007,Pelly,0.067130605,0.326559295,0.589141963,0.017168102,4,0
2007,Stewart,0.067130605,0.326559295,0.589141963,0.017168102,5,0
2007,Teslin River,0.067130605,0.326559295,0.589141963,0.017168102,6,0
2007,Upper Lakes and Mainstem,0.067130605,0.326559295,0.589141963,0.017168102,7,0
2007,White-Donjek,0.067130605,0.326559295,0.589141963,0.017168102,8,0
2008,Carmacks,0.039451021,0.594470343,0.330879973,0.035198662,1,1
2008,Lower Mainstem,0.039451021,0.594470343,0.330879973,0.035198662,2,1
2008,Middle Mainstem,0.039451021,0.594470343,0.330879973,0.035198662,3,1
2008,Pelly,0.039451021,0.594470343,0.330879973,0.035198662,4,1
2008,Stewart,0.039451021,0.594470343,0.330879973,0.035198662,5,1
2008,Teslin River,0.039451021,0.594470343,0.330879973,0.035198662,6,1
2008,Upper Lakes and Mainstem,0.039451021,0.594470343,0.330879973,0.035198662,7,1
2008,White-Donjek,0.039451021,0.594470343,0.330879973,0.035198662,8,1
2009,Carmacks,0.094462762,0.30602718,0.596921157,0.002588901,1,1
2009,Lower Mainstem,0.094462762,0.30602718,0.596921157,0.002588901,2,1
2009,Middle Mainstem,0.094462762,0.30602718,0.596921157,0.002588901,3,1
2009,Pelly,0.094462762,0.30602718,0.596921157,0.002588901,4,1
2009,Stewart,0.094462762,0.30602718,0.596921157,0.002588901,5,1
2009,Teslin River,0.094462762,0.30602718,0.596921157,0.002588901,6,1
2009,Upper Lakes and Mainstem,0.094462762,0.30602718,0.596921157,0.002588901,7,1
2009,White-Donjek,0.094462762,0.30602718,0.596921157,0.002588901,8,1
2010,Carmacks,0.101363093,0.493417177,0.367226583,0.037993147,1,1
2010,Lower Mainstem,0.101363093,0.493417177,0.367226583,0.037993147,2,1
2010,Middle Mainstem,0.101363093,0.493417177,0.367226583,0.037993147,3,1
2010,Pelly,0.101363093,0.493417177,0.367226583,0.037993147,4,1
2010,Stewart,0.101363093,0.493417177,0.367226583,0.037993147,5,1
2010,Teslin River,0.101363093,0.493417177,0.367226583,0.037993147,6,1
2010,Upper Lakes and Mainstem,0.101363093,0.493417177,0.367226583,0.037993147,7,1
2010,White-Donjek,0.101363093,0.493417177,0.367226583,0.037993147,8,1
2011,Carmacks,0.039863346,0.352006967,0.541712679,0.066416924,1,1
2011,Lower Mainstem,0.039863346,0.352006967,0.541712679,0.066416924,2,1
2011,Middle Mainstem,0.039863346,0.352006967,0.541712679,0.066416924,3,1
2011,Pelly,0.039863346,0.352006967,0.541712679,0.066416924,4,1
2011,Stewart,0.039863346,0.352006967,0.541712679,0.066416924,5,1
2011,Teslin River,0.039863346,0.352006967,0.541712679,0.066416924,6,1
2011,Upper Lakes and Mainstem,0.039863346,0.352006967,0.541712679,0.066416924,7,1
2011,White-Donjek,0.039863346,0.352006967,0.541712679,0.066416924,8,1
2012,Carmacks,0.068264338,0.365943358,0.529611108,0.036181174,1,1
2012,Lower Mainstem,0.068264338,0.365943358,0.529611108,0.036181174,2,1
2012,Middle Mainstem,0.068264338,0.365943358,0.529611108,0.036181174,3,1
2012,Pelly,0.068264338,0.365943358,0.529611108,0.036181174,4,1
2012,Stewart,0.068264338,0.365943358,0.529611108,0.036181174,5,1
2012,Teslin River,0.068264338,0.365943358,0.529611108,0.036181174,6,1
2012,Upper Lakes and Mainstem,0.068264338,0.365943358,0.529611108,0.036181174,7,1
2012,White-Donjek,0.068264338,0.365943358,0.529611108,0.036181174,8,1
2013,Carmacks,0.06252207,0.298366783,0.596946427,0.042164744,1,1
2013,Lower Mainstem,0.06252207,0.298366783,0.596946427,0.042164744,2,1
2013,Middle Mainstem,0.06252207,0.298366783,0.596946427,0.042164744,3,1
