year,region_num,region_code,Region Name,value_level,value
2002,1,35,Stewart,estimate,17.4
2002,1,31,Teslin River,estimate,22.5
2002,1,30,Upper Lakes and Mainstem,estimate,1.6
2002,1,38,White-Donjek,estimate,0.4
2003,1,32,Carmacks,estimate,16.3
2003,1,36,Lower Mainstem,estimate,21.4
2003,1,33,Middle Mainstem,estimate,5.6
2003,1,34,Pelly,estimate,26.9
2003,1,35,Stewart,estimate,5.6
2003,1,31,Teslin River,estimate,11.9
2003,1,30,Upper Lakes and Mainstem,estimate,2.7
2003,1,38,White-Donjek,estimate,9.7
2004,1,32,Carmacks,estimate,15
2004,1,36,Lower Mainstem,estimate,18.6
2004,1,33,Middle Mainstem,estimate,8.5
2004,1,34,Pelly,estimate,21.7
2004,1,35,Stewart,estimate,6.4
2004,1,31,Teslin River,estimate,18.6
2004,1,30,Upper Lakes and Mainstem,estimate,3.5
2004,1,38,White-Donjek,estimate,7.7
2005,1,32,Carmacks,estimate,16.1
2005,1,36,Lower Mainstem,estimate,15.2
2005,1,33,Middle Mainstem,estimate,0.8
2005,1,34,Pelly,estimate,22.1
2005,1,35,Stewart,estimate,2.6
2005,1,31,Teslin River,estimate,32.7
2005,1,30,Upper Lakes and Mainstem,estimate,3.1
2005,1,38,White-Donjek,estimate,7.4
2006,1,32,Carmacks,estimate,10.1
2006,1,36,Lower Mainstem,estimate,11.6
2006,1,33,Middle Mainstem,estimate,19.9
2006,1,34,Pelly,estimate,13.2
2006,1,35,Stewart,estimate,7.1
2006,1,31,Teslin River,estimate,28.9
2006,1,30,Upper Lakes and Mainstem,estimate,5
2006,1,38,White-Donjek,estimate,4.2
2007,1,32,Carmacks,estimate,13.5
2007,1,36,Lower Mainstem,estimate,12.6
2007,1,33,Middle Mainstem,estimate,3.9
2007,1,34,Pelly,estimate,27.8
2007,1,35,Stewart,estimate,13.8
2007,1,31,Teslin River,estimate,16.4
2007,1,30,Upper Lakes and Mainstem,estimate,1.1
2007,1,38,White-Donjek,estimate,10.9
2008,1,32,Carmacks,estimate,9.37
2008,1,36,Lower Mainstem,estimate,7.51
2008,1,33,Middle Mainstem,estimate,27.49
2008,1,34,Pelly,estimate,17.59
2008,1,35,Stewart,estimate,8.63
2008,1,31,Teslin River,estimate,21.74
2008,1,30,Upper Lakes and Mainstem,estimate,1.69
2008,1,38,White-Donjek,estimate,5.97
2009,1,32,Carmacks,estimate,17.98
2009,1,36,Lower Mainstem,estimate,9.18
2009,1,33,Middle Mainstem,estimate,2.63
2009,1,34,Pelly,estimate,25.01
2009,1,35,Stewart,estimate,10.51
2009,1,31,Teslin River,estimate,24.78
2009,1,30,Upper Lakes and Mainstem,estimate,3.1
2009,1,38,White-Donjek,estimate,6.82
2010,1,32,Carmacks,estimate,15.79
2010,1,36,Lower Mainstem,estimate,3.34
2010,1,33,Middle Mainstem,estimate,11.53
2010,1,34,Pelly,estimate,12.87
2010,1,35,Stewart,estimate,10.78
2010,1,31,Teslin River,estimate,34.12
2010,1,30,Upper Lakes and Mainstem,estimate,7.73
2010,1,38,White-Donjek,estimate,3.84
