count_type	month	day	count	year	julian
fish_wheel	8	6	8	1986	218
fish_wheel	8	7	8	1986	219
fish_wheel	8	8	5	1986	220
fish_wheel	8	9	7	1986	221
fish_wheel	8	10	4	1986	222
fish_wheel	8	11	2	1986	223
fish_wheel	8	12	4	1986	224
fish_wheel	8	13	4	1986	225
fish_wheel	8	14	2	1986	226
fish_wheel	8	15	3	1986	227
fish_wheel	8	16	1	1986	228
fish_wheel	8	17	1	1986	229
fish_wheel	8	18	4	1986	230
fish_wheel	8	19	3	1986	231
fish_wheel	8	20	1	1986	232
fish_wheel	8	21	1	1986	233
fish_wheel	8	22	1	1986	234
fish_wheel	8	23	1	1986	235
fish_wheel	8	24	0	1986	236
fish_wheel	8	25	1	1986	237
fish_wheel	8	26	0	1986	238
fish_wheel	8	27	2	1986	239
fish_wheel	8	28	0	1986	240
fish_wheel	8	29	0	1986	241
fish_wheel	8	30	0	1986	242
fish_wheel	8	31	0	1986	243
fish_wheel	9	1	1	1986	244
fish_wheel	9	2	0	1986	245
fish_wheel	9	3	0	1986	246
fish_wheel	9	4	1	1986	247
fish_wheel	9	5	0	1986	248
fish_wheel	9	6	0	1986	249
fish_wheel	9	7	0	1986	250
fish_wheel	9	8	0	1986	251
fish_wheel	9	9	0	1986	252
fish_wheel	9	10	0	1986	253
fish_wheel	9	11	0	1986	254
fish_wheel	9	12	0	1986	255
fish_wheel	9	13	0	1986	256
fish_wheel	9	14	1	1986	257
fish_wheel	9	15	0	1986	258
fish_wheel	9	16	0	1986	259
fish_wheel	9	17	0	1986	260
fish_wheel	9	18	0	1986	261
fish_wheel	9	19	0	1986	262
fish_wheel	9	20	0	1986	263
fish_wheel	9	21	0	1986	264
fish_wheel	9	22	0	1986	265
fish_wheel	9	23	0	1986	266
fish_wheel	9	24	0	1986	267
fish_wheel	9	25	0	1986	268
fish_wheel	9	26	0	1986	269
fish_wheel	9	27	NA	1986	270
fish_wheel	9	28	NA	1986	271
fish_wheel	9	29	NA	1986	272
fish_wheel	9	30	NA	1986	273
fish_wheel	10	1	NA	1986	274
fish_wheel	10	2	NA	1986	275
fish_wheel	10	3	NA	1986	276
fish_wheel	10	4	NA	1986	277
fish_wheel	10	5	NA	1986	278
fish_wheel	10	6	NA	1986	279
fish_wheel	10	7	NA	1986	280
fish_wheel	10	8	NA	1986	281
fish_wheel	10	9	NA	1986	282
fish_wheel	10	10	NA	1986	283
fish_wheel	6	23	0	1987	174
fish_wheel	6	24	0	1987	175
fish_wheel	6	25	0	1987	176
fish_wheel	6	26	0	1987	177
fish_wheel	6	27	0	1987	178
fish_wheel	6	28	0	1987	179
fish_wheel	6	29	2	1987	180
fish_wheel	6	30	0	1987	181
fish_wheel	7	1	0	1987	182
fish_wheel	7	2	1	1987	183
fish_wheel	7	3	0	1987	184
fish_wheel	7	4	0	1987	185
fish_wheel	7	5	0	1987	186
fish_wheel	7	6	2	1987	187
fish_wheel	7	7	1	1987	188
fish_wheel	7	8	1	1987	189
fish_wheel	7	9	1	1987	190
fish_wheel	7	10	1	1987	191
fish_wheel	7	11	15	1987	192
fish_wheel	7	12	45	1987	193
fish_wheel	7	13	57	1987	194
fish_wheel	7	14	42	1987	195
fish_wheel	7	15	56	1987	196
fish_wheel	7	16	58	1987	197
fish_wheel	7	17	36	1987	198
fish_wheel	7	18	50	1987	199
fish_wheel	7	19	36	1987	200
fish_wheel	7	20	16	1987	201
fish_wheel	7	21	11	1987	202
fish_wheel	7	22	22	1987	203
fish_wheel	7	23	36	1987	204
fish_wheel	7	24	26	1987	205
fish_wheel	7	25	30	1987	206
fish_wheel	7	26	36	1987	207
fish_wheel	7	27	25	1987	208
fish_wheel	7	28	23	1987	209
fish_wheel	7	29	24	1987	210
fish_wheel	7	30	26	1987	211
fish_wheel	7	31	30	1987	212
fish_wheel	8	1	74	1987	213
fish_wheel	8	2	35	1987	214
fish_wheel	8	3	32	1987	215
fish_wheel	8	4	18	1987	216
fish_wheel	8	5	4	1987	217
fish_wheel	8	6	8	1987	218
fish_wheel	8	7	8	1987	219
fish_wheel	8	8	7	1987	220
fish_wheel	8	9	9	1987	221
fish_wheel	8	10	4	1987	222
fish_wheel	8	11	4	1987	223
fish_wheel	8	12	3	1987	224
fish_wheel	8	13	3	1987	225
fish_wheel	8	14	1	1987	226
fish_wheel	8	15	1	1987	227
fish_wheel	8	16	1	1987	228
fish_wheel	8	17	2	1987	229
fish_wheel	8	18	0	1987	230
fish_wheel	8	19	2	1987	231
fish_wheel	8	20	1	1987	232
fish_wheel	8	21	0	1987	233
fish_wheel	8	22	0	1987	234
fish_wheel	8	23	1	1987	235
fish_wheel	8	24	0	1987	236
fish_wheel	8	25	0	1987	237
fish_wheel	8	26	0	1987	238
fish_wheel	8	27	1	1987	239
fish_wheel	8	28	1	1987	240
fish_wheel	8	29	1	1987	241
fish_wheel	8	30	0	1987	242
fish_wheel	8	31	1	1987	243
fish_wheel	9	1	0	1987	244
fish_wheel	9	2	0	1987	245
fish_wheel	9	3	1	1987	246
fish_wheel	9	4	0	1987	247
fish_wheel	9	5	0	1987	248
fish_wheel	9	6	0	1987	249
fish_wheel	9	7	0	1987	250
fish_wheel	9	8	1	1987	251
fish_wheel	9	9	1	1987	252
fish_wheel	9	10	1	1987	253
fish_wheel	9	11	1	1987	254
fish_wheel	9	12	0	1987	255
fish_wheel	9	13	0	1987	256
fish_wheel	9	14	0	1987	257
fish_wheel	9	15	0	1987	258
fish_wheel	9	16	0	1987	259
fish_wheel	9	17	0	1987	260
fish_wheel	9	18	0	1987	261
fish_wheel	9	19	0	1987	262
fish_wheel	9	20	0	1987	263
fish_wheel	9	21	0	1987	264
fish_wheel	9	22	1	1987	265
fish_wheel	9	23	0	1987	266
fish_wheel	9	24	0	1987	267
fish_wheel	9	25	0	1987	268
fish_wheel	9	26	1	1987	269
fish_wheel	9	27	0	1987	270
fish_wheel	9	28	0	1987	271
fish_wheel	9	29	0	1987	272
fish_wheel	9	30	0	1987	273
fish_wheel	10	1	0	1987	274
fish_wheel	10	2	0	1987	275
fish_wheel	10	3	0	1987	276
fish_wheel	10	4	0	1987	277
fish_wheel	10	5	0	1987	278
fish_wheel	10	6	0	1987	279
fish_wheel	10	7	0	1987	280
fish_wheel	10	8	0	1987	281
fish_wheel	10	9	0	1987	282
fish_wheel	10	10	0	1987	283
fish_wheel	6	23	1	1988	175
fish_wheel	6	24	0	1988	176
fish_wheel	6	25	2	1988	177
fish_wheel	6	26	1	1988	178
fish_wheel	6	27	2	1988	179
fish_wheel	6	28	2	1988	180
fish_wheel	6	29	3	1988	181
fish_wheel	6	30	1	1988	182
fish_wheel	7	1	7	1988	183
fish_wheel	7	2	7	1988	184
fish_wheel	7	3	13	1988	185
fish_wheel	7	4	2	1988	186
fish_wheel	7	5	10	1988	187
fish_wheel	7	6	4	1988	188
fish_wheel	7	7	7	1988	189
fish_wheel	7	8	11	1988	190
fish_wheel	7	9	7	1988	191
fish_wheel	7	10	15	1988	192
fish_wheel	7	11	14	1988	193
fish_wheel	7	12	16	1988	194
fish_wheel	7	13	18	1988	195
