year,sample_type,julian_date,sample_num,stock,region,prob
1982,unkn,201,31,McQuesten,35,0.05
1982,unkn,201,32,Klondike,36,0.78
1982,unkn,201,32,Chandindu,36,0.22
1982,unkn,201,33,Yukon_main,33,0.01
1982,unkn,201,33,Pelly,34,0.1
1982,unkn,201,33,L_andB_Kalzas,34,0.08
1982,unkn,201,33,Kluane,38,0.77
1982,unkn,201,33,Nisling,38,0.01
1982,unkn,201,34,Nisutlin,31,0.9
1982,unkn,201,34,Morley,31,0.04
1982,unkn,201,34,Teslin_Lake,31,0.04
1982,unkn,201,34,100_Mile_R,31,0.01
1982,unkn,201,34,Teslin,31,0.01
1982,unkn,202,35,Teslin,31,0.77
1982,unkn,202,35,Morley,31,0
1982,unkn,202,35,Nisutlin,31,0
1982,unkn,202,35,Big_Salmon,32,0.07
1982,unkn,202,35,Yukon_main,33,0.16
1982,unkn,202,36,Blind_Cr,34,0.02
1982,unkn,202,36,Pelly,34,0.02
1982,unkn,202,36,McQuesten,35,0
1982,unkn,202,36,Stewart,35,0
1982,unkn,202,36,Nisling,38,0.96
1982,unkn,202,37,Pelly,34,0.2
1982,unkn,202,37,L_andB_Kalzas,34,0.13
1982,unkn,202,37,Kalzas,34,0.05
1982,unkn,202,37,Stewart,35,0.16
1982,unkn,202,37,Nisling,38,0.3
1982,unkn,202,38,L_Salmon,32,0.01
1982,unkn,202,38,Pelly,34,0
1982,unkn,202,38,Mayo,35,0.43
1982,unkn,202,38,Stewart,35,0.29
1982,unkn,202,38,McQuesten,35,0.25
1982,unkn,203,39,100_Mile_R,31,0
1982,unkn,203,39,McQuesten,35,0.27
1982,unkn,203,39,Klondike,36,0.45
1982,unkn,203,39,Chandindu,36,0.28
1982,unkn,203,40,McQuesten,35,0.01
1982,unkn,203,40,Klondike,36,0.87
1982,unkn,203,40,Chandindu,36,0.13
1982,unkn,203,41,Teslin,31,0
1982,unkn,203,41,McQuesten,35,0.01
1982,unkn,203,41,Stewart,35,0
1982,unkn,203,41,Klondike,36,0.82
1982,unkn,203,41,Chandindu,36,0.16
1982,unkn,203,42,McQuesten,35,0.01
1982,unkn,203,42,Stewart,35,0
1982,unkn,203,42,Klondike,36,0.9
1982,unkn,203,42,Chandindu,36,0.09
1982,unkn,203,43,Teslin,31,0.51
1982,unkn,203,43,Big_Salmon,32,0.06
1982,unkn,203,43,Yukon_main,33,0.18
1982,unkn,203,43,Mayo,35,0.13
1982,unkn,203,43,Stewart,35,0.06
1982,unkn,203,44,Ross_YT,34,0.89
1982,unkn,203,44,Pelly,34,0.05
1982,unkn,203,44,Blind_Cr,34,0.04
1982,unkn,203,44,Stewart,35,0
1982,unkn,203,44,Nisling,38,0.01
1982,unkn,203,45,Teslin,31,0
1982,unkn,203,45,Blind_Cr,34,0.01
1982,unkn,203,45,McQuesten,35,0.98
1982,unkn,203,45,Stewart,35,0
1982,unkn,203,45,Klondike,36,0
1982,unkn,203,46,Morley,31,0.21
1982,unkn,203,46,Nisutlin,31,0.02
1982,unkn,203,46,Yukon_main,33,0.03
1982,unkn,203,46,Pelly,34,0.4
1982,unkn,203,46,Nisling,38,0.31
1982,unkn,204,47,Nisutlin,31,0.65
1982,unkn,204,47,Morley,31,0.16
1982,unkn,204,47,Teslin,31,0.07
1982,unkn,204,47,100_Mile_R,31,0.03
1982,unkn,204,47,Yukon_main,33,0.03
1982,unkn,204,48,Big_Salmon,32,0.49
1982,unkn,204,48,L_Salmon,32,0.27
1982,unkn,204,48,Pelly,34,0.04
1982,unkn,204,48,Kalzas,34,0.03
1982,unkn,204,48,Stewart,35,0.09
1982,unkn,204,49,McQuesten,35,0.06
1982,unkn,204,49,Mayo,35,0
1982,unkn,204,49,Klondike,36,0.87
1982,unkn,204,49,Chandindu,36,0.08
1982,unkn,204,50,Teslin,31,0.38
1982,unkn,204,50,Morley,31,0.3
1982,unkn,204,50,Nisutlin,31,0.05
1982,unkn,204,50,Big_Salmon,32,0.07
1982,unkn,204,50,Yukon_main,33,0.09
1982,unkn,204,51,Teslin,31,0.31
1982,unkn,204,51,Morley,31,0.04
1982,unkn,204,51,Yukon_main,33,0.09
1982,unkn,204,51,Mayo,35,0.05
1982,unkn,204,51,Kluane,38,0.33
1982,unkn,204,52,Pelly,34,0
1982,unkn,204,52,Nisling,38,1
1982,unkn,204,53,Teslin,31,0.3
1982,unkn,204,53,Big_Salmon,32,0.11
1982,unkn,204,53,Yukon_main,33,0.24
1982,unkn,204,53,Pelly,34,0.14
1982,unkn,204,53,Stewart,35,0.06
1982,unkn,205,54,Yukon_main,33,0.02
1982,unkn,205,54,Blind_Cr,34,0.63
1982,unkn,205,54,Pelly,34,0.31
1982,unkn,205,54,Ross_YT,34,0.02
1982,unkn,205,54,Earn,34,0.01
1982,unkn,205,55,Yukon_main,33,0.07
1982,unkn,205,55,Pelly,34,0.05
1982,unkn,205,55,Stewart,35,0.43
1982,unkn,205,55,Mayo,35,0.29
1982,unkn,205,55,Nisling,38,0.08
1982,unkn,205,56,Nisutlin,31,0.98
1982,unkn,205,56,Morley,31,0.02
1982,unkn,205,56,100_Mile_R,31,0
1982,unkn,205,56,Teslin_Lake,31,0
1982,unkn,205,56,Yukon_main,33,0
1982,unkn,205,57,L_Salmon,32,0.01
1982,unkn,205,57,Yukon_main,33,0
1982,unkn,205,57,McQuesten,35,0.02
1982,unkn,205,57,Klondike,36,0.67
1982,unkn,205,57,Chandindu,36,0.29
1982,unkn,206,58,Blind_Cr,34,0.99
1982,unkn,206,58,Pelly,34,0.01
1982,unkn,206,58,Ross_YT,34,0
1982,unkn,206,58,Mayo,35,0
1982,unkn,206,58,Stewart,35,0
1982,unkn,206,59,Nisutlin,31,0.81
1982,unkn,206,59,Morley,31,0.13
1982,unkn,206,59,Teslin_Lake,31,0.02
1982,unkn,206,59,Teslin,31,0.01
1982,unkn,206,59,Ross_YT,34,0.02
1982,unkn,206,60,Teslin,31,0
1982,unkn,206,60,Pelly,34,0
1982,unkn,206,60,Ross_YT,34,0
1982,unkn,206,60,Mayo,35,0
1982,unkn,206,60,Kluane,38,0.99
1982,unkn,206,61,Pelly,34,0.13
1982,unkn,206,61,Kalzas,34,0
1982,unkn,206,61,Ross_YT,34,0
1982,unkn,206,61,Stewart,35,0
1982,unkn,206,61,Nisling,38,0.87
1982,unkn,206,62,McQuesten,35,0.07
1982,unkn,206,62,Stewart,35,0.01
1982,unkn,206,62,Mayo,35,0
1982,unkn,206,62,Klondike,36,0.85
1982,unkn,206,62,Chandindu,36,0.07
1982,unkn,206,63,Nisutlin,31,0.96
1982,unkn,206,63,Morley,31,0.04
1982,unkn,206,63,100_Mile_R,31,0
1982,unkn,206,63,Teslin_Lake,31,0
1982,unkn,206,64,Whitehorse,30,0.34
1982,unkn,206,64,Teslin,31,0.37
1982,unkn,206,64,Morley,31,0.06
1982,unkn,206,64,Nisutlin,31,0.05
1982,unkn,206,64,Yukon_main,33,0.07
1982,unkn,206,65,Nisutlin,31,0.78
1982,unkn,206,65,Morley,31,0.1
1982,unkn,206,65,100_Mile_R,31,0.03
1982,unkn,206,65,Big_Salmon,32,0.03
1982,unkn,206,65,L_Salmon,32,0.03
1982,unkn,207,66,McQuesten,35,0
1982,unkn,207,66,Klondike,36,0.8
1982,unkn,207,66,Chandindu,36,0.19
1982,unkn,207,67,Pelly,34,0.53
1982,unkn,207,67,Kalzas,34,0.05
1982,unkn,207,67,Ross_YT,34,0.03
1982,unkn,207,67,Stewart,35,0.06
1982,unkn,207,67,Nisling,38,0.24
1982,unkn,207,68,McQuesten,35,0.07
1982,unkn,207,68,Klondike,36,0.74
1982,unkn,207,68,Chandindu,36,0.19
1982,unkn,207,69,Teslin,31,0.04
1982,unkn,207,69,Big_Salmon,32,0.46
1982,unkn,207,69,L_Salmon,32,0.16
1982,unkn,207,69,Pelly,34,0.2
1982,unkn,207,69,L_andB_Kalzas,34,0.04
1982,unkn,208,70,L_Salmon,32,0.06
1982,unkn,208,70,Yukon_main,33,0.11
1982,unkn,208,70,Pelly,34,0.41
1982,unkn,208,70,Stewart,35,0.09
1982,unkn,208,70,McQuesten,35,0.06
1982,unkn,209,72,Whitehorse,30,0.03
1982,unkn,209,72,Teslin,31,0.77
1982,unkn,209,72,Big_Salmon,32,0.02
1982,unkn,209,72,L_Salmon,32,0.01
1982,unkn,209,72,Yukon_main,33,0.16
1982,unkn,209,73,Tatchun,32,0.04
1982,unkn,209,73,Yukon_main,33,0.06
1982,unkn,209,73,Blind_Cr,34,0.04
1982,unkn,209,73,McQuesten,35,0.69
1982,unkn,209,73,Mayo,35,0.09
1982,unkn,209,74,Teslin,31,0.01
1982,unkn,209,74,Yukon_main,33,0
1982,unkn,209,74,Pelly,34,0
1982,unkn,209,74,McQuesten,35,0.97
1982,unkn,209,74,Mayo,35,0.01
1982,unkn,209,75,Teslin,31,0.21
1982,unkn,209,75,L_Salmon,32,0.15
1982,unkn,209,75,Big_Salmon,32,0.1
1982,unkn,209,75,McQuesten,35,0.22
1982,unkn,209,75,Klondike,36,0.17
1982,unkn,209,76,Nisutlin,31,0.44
