year,region,Spawn,reg_code,truecount
2002,Lower Mainstem,5.803183,2,1
2002,Middle Mainstem,12.495905,3,1
2002,Pelly,3.092207,4,1
2002,Stewart,7.370466,5,1
2002,Teslin River,9.530775,6,1
2002,Upper Lakes and Mainstem,0.677744,7,1
2002,White-Donjek,0.169436,8,1
2003,Carmacks,13.136822,1,1
2003,Lower Mainstem,17.206819,2,1
2003,Middle Mainstem,4.513264,3,1
2003,Pelly,21.639489,4,1
2003,Stewart,4.513264,5,1
2003,Teslin River,9.590686,6,1
2003,Upper Lakes and Mainstem,2.176038,7,1
2003,White-Donjek,7.817618,8,1
2004,Carmacks,7.27035,1,1
2004,Lower Mainstem,9.015234,2,1
2004,Middle Mainstem,4.119865,3,1
2004,Pelly,10.517773,4,1
2004,Stewart,3.102016,5,1
2004,Teslin River,9.015234,6,1
2004,Upper Lakes and Mainstem,1.696415,7,1
2004,White-Donjek,3.732113,8,1
2005,Carmacks,10.945585,1,1
2005,Lower Mainstem,10.33372,2,1
2005,Middle Mainstem,0.54388,3,1
2005,Pelly,15.024685,4,1
2005,Stewart,1.76761,5,1
2005,Teslin River,22.231095,6,1
2005,Upper Lakes and Mainstem,2.107535,7,1
2005,White-Donjek,5.03089,8,1
2006,Carmacks,7.985325,1,0
2006,Lower Mainstem,7.108505,2,0
2006,Middle Mainstem,8.862145,3,0
2006,Pelly,12.432055,4,0
2006,Stewart,3.50728,5,0
2006,Teslin River,17.03536,6,0
2006,Upper Lakes and Mainstem,1.50312,7,0
2006,White-Donjek,4.19621,8,0
2007,Carmacks,4.45026,1,0
2007,Lower Mainstem,3.961604,2,0
2007,Middle Mainstem,4.938916,3,0
2007,Pelly,6.928444,4,0
2007,Stewart,1.954624,5,0
2007,Teslin River,9.493888,6,0
2007,Upper Lakes and Mainstem,0.837696,7,0
2007,White-Donjek,2.338568,8,0
2008,Carmacks,3.185002,1,1
2008,Lower Mainstem,2.541225,2,1
2008,Middle Mainstem,9.317825,3,1
2008,Pelly,5.963408,4,1
2008,Stewart,2.913938,5,1
